,Created at,User ID,Text
0,2022-06-28 00:48:56+00:00,1541584397803069440,"@doveman_ Hey man, I have an idea I would like to discuss with you."
1,2022-06-28 00:26:06+00:00,1541578652395216908,"My goodness, kids do not have to see EVERYTHING, my damn! https://t.co/bdnEGLuevV"
2,2022-06-27 23:53:41+00:00,1541570496206077961,RT @nasescobar316: This is a good example of us taking action to BLOCK Non-Citizens from getting things they do not deserve. More lawsuits…
3,2022-06-27 23:50:16+00:00,1541569633228054529,"RT @tariqnasheed: They said to hell with dog whistle language......

 Is California ready for more Black people to legally carry guns in pu…"
4,2022-06-27 23:37:01+00:00,1541566301625352194,RT @bigbullybul: @Marcel4Congress All illegal immigrants Deportation 2022
5,2022-06-27 23:28:49+00:00,1541564237348327424,RT @MrAliBey: Excellent News! 👏🏿👏🏿👏🏿 https://t.co/JcumNVvqIh
6,2022-06-27 23:06:54+00:00,1541558722954240001,Wow! Thank you 🙏🏿! This is an immense compliment🙏🏿! https://t.co/O3K1XpHyIy
7,2022-06-27 22:55:40+00:00,1541555894022012929,"@CR_an_K Yes, I do!"
8,2022-06-27 22:52:19+00:00,1541555050849472519,@afollowerofdr Exactly!
9,2022-06-27 22:50:34+00:00,1541554612553109504,RT @Craigs_VCR: Kendrick clearly an agent at this point.
10,2022-06-27 22:46:44+00:00,1541553643912155140,RT @tariqnasheed: Only a couple of days left to get involved with the new film project American Maroon. Everyone go to https://t.co/5cyrZMC…
11,2022-06-27 22:43:50+00:00,1541552916254887939,"@DelilleGabriel is a SELLOUT who identifies as an immigrant, Haitian, Democrat, and far down the line, perhaps BLACK. Black Americans (#Freedmen), we have NO friends, and this shows it, trying to justify our suffering and abuse!

#FBA #TariqNasheed

https://t.co/g4hVHIHoES"
12,2022-06-27 22:35:17+00:00,1541550763247280130,"This black immigrant SELLOUT is a Democratic shill who puts being a Democrat far, far, far before he is black. #FBA #TariqNasheed https://t.co/2sR9KkAX7Q"
13,2022-06-27 22:25:53+00:00,1541548397219528704,So I read about this disturbing video and there was a stampede where at least 23 migrants from the African continent were killed trying to go into Spain. https://t.co/6rGXiH4emB
14,2022-06-27 22:18:27+00:00,1541546526354309122,"RT @DsmithDos: Ask yourself this, are the people in this pic liberals or conservatives? Also, which party will they vote for? https://t.co/…"
15,2022-06-27 21:03:21+00:00,1541527630553432065,https://t.co/TuReuSaG1u https://t.co/l5Eff0zmRa
16,2022-06-27 19:18:08+00:00,1541501150310154241,RT @AmaruFreedmen: Great News for American Freedmen in New York! Now make them pay!!! @8USC12 @PDeniseLong @PFIRorg @NumbersUSA @RoyBeck_NU…
17,2022-06-27 18:30:07+00:00,1541489065110953987,"YES, you should absolutely NOT be able to vote if you are not a citizen, good work the New York Supreme Court 👏🏿👏🏿👏🏿👏🏿!

https://t.co/O6Q2Gvhr1L"
18,2022-06-27 18:19:51+00:00,1541486481725919235,"I hear this from South Carolina Republicans, white AND black, ALL THE TIME, and I cannot disagree. https://t.co/hQ4qozC4Ss"
19,2022-06-27 18:18:59+00:00,1541486266054746118,"Nothing wrong here, she wants to lookout for her group first, that is how it works. Ending #roevswade is a victory for BLACK LIFE. Everyone has the right to lookout for their group FIRST. Just do NOT infringe upon the rights of other groups. We can do that and help others too. https://t.co/DITt4yYfYO"
20,2022-06-27 18:11:45+00:00,1541484444493692931,"I am seeing it two from a small minority and it makes just as little sense to me as it does to you, it is DISGUSTING! https://t.co/lpNHOJ64IG"
21,2022-06-27 18:10:08+00:00,1541484037293867010,"@Anthoniaedokpo2 @DarkandLuvvly @GT91113 Still not one word about these poor Africans that appear to dead, I am not sure how, but this is horrible. You are just concerned about staying in the US and slandering Black Americans whilst THIS happens to people from your homeland, selfish and unforgivable!"
22,2022-06-27 18:08:46+00:00,1541483692303990784,"@TheJetEye @DarkandLuvvly @Anthoniaedokpo2 @GT91113 No, that is YOU praising white supremacy by being against Black Americans (#Freedmen) who stay and FIGHT for what we are owed #reparations while these HORRORS are happening on the African continent and those same people say and do NOTHING!"
23,2022-06-27 18:07:32+00:00,1541483381392809994,"@ImNikkiLuv @NOflexZONE191 @Samaggio_X @GT91113 You know it! This should be ALL OVER ""Pan-African Twitter"" but instead, they are talking about what Black Americans (#Freedmen) should do in OUR COUNTRY while ignoring THIS, how selfish, evil, nasty, despicable, and UNFORGIVABLE!"
24,2022-06-27 18:05:25+00:00,1541482849412517888,"@ImNikkiLuv @NOflexZONE191 @SecureTheTribe @Samaggio_X @GT91113 Exactly, I am have called this death, possible murder, of our African brothers and sisters an atrocity, I am highlighting it, and calling out selfish black immigrants who stay trying to dictate to Black Americans in OUR COUNTRY but not doing anything for THEIR native lands."
25,2022-06-27 18:02:47+00:00,1541482185831714816,@cridkim @Anthoniaedokpo2 @GT91113 This is so pathetic and selfish. Notice how none of these black immigrants have not said even ONE WORD about these dead black Africans but are so riled up that I am calling THEM OUT about having so much to say about US but not about these actual abuses. It is very telling
26,2022-06-27 17:01:16+00:00,1541466705251254273,@wear_athletic https://t.co/spoNtiVU2P
27,2022-06-27 17:00:49+00:00,1541466593653395456,@jezusgurl55 @DemetriGooner @Samaggio_X @GT91113 Notice how they are not saying ANYTHING to Arabs nor Morocco but still trying to tell Black Americans (#Freedmen) how we should feel and what we should do. Selfishness is deep within these despicable 🦝s.
28,2022-06-27 16:59:40+00:00,1541466303009005568,"@DWongFromGT89 @MichelleObama I had a job that my people FOUGHT to make sure their descendants would have access to having, and I am honored to continue that FIGHT, not fleeing like your sorry @$$ leaving your people to suffer. I am not anti-black immigrant, just anti 🦝, which A LOT of black immigrants ARE!"
29,2022-06-27 16:58:06+00:00,1541465910162120704,"@Anthoniaedokpo2 @GT91113 So you care nothing about these black Africans suffering and literally DYING from poverty, corruption, and violence!? Also, your most precious resource were the people YALL sold to Europeans, and those people continued to have their resources stolen. Selfish and despicable!"
30,2022-06-27 16:52:31+00:00,1541464502557982720,"RT @Chad_Boogie: We
#Freedmen🇺🇸
Have
No
Friends.

#Family1st ✊🏾💪🏾
#Reparations"
31,2022-06-27 16:49:52+00:00,1541463839320981505,"@ARAPHAT191 Black Americans (#Freedmen) are the reason this country exists and still continues, we are always being told to fix messes we did not cause but from which we suffer. How about you tell AFRICANS over here in the US trying to dicate to us to help fix THEIR HOMELANDS!?"
32,2022-06-27 16:48:24+00:00,1541463467714027521,"@Anthoniaedokpo2 @GT91113 So yall see this, a pile of dead brothers and sisters from various African lands, and he is not the least motivated to help his people there, he just concerned about making sure he can stay here with us, where he feels safe because he knows we FIGHT BACK, selfish and a coward"
33,2022-06-27 16:46:57+00:00,1541463104743215111,@Thetrut71274645 @eventhomedia @fieldhand7yr @Samaggio_X @GT91113 Exactly!
34,2022-06-27 16:43:57+00:00,1541462347495112709,@NOflexZONE191 @Samaggio_X @GT91113 There is not a large Arab population where I live but you keep avoiding the point. Some black immigrants spend more time trying to tell Black Americans (#Freedmen) what we should do in OUR COUNTRY but not doing a GODDAMN thing about an atrocity like THIS!!!!
35,2022-06-27 16:42:29+00:00,1541461978673299460,"@eventhomedia @fieldhand7yr @Samaggio_X @GT91113 No, my great-grandparents did not ""flee"" their country, they went to northern cities where there were jobs available but they did not leave America. Going from Northern Nigeria to Western Nigeria is not fleeing Nigeria but from Nigeria to the US IS fleeing ."
36,2022-06-27 16:40:23+00:00,1541461450455220225,"@Anthoniaedokpo2 @GT91113 First of all, the only celebrations I see are from selfish black immigrants who leave their people in their native countries behind. I am actually calling ATTENTION to this travesty so take some literacy classes and reread you sorry @$$ coward"
37,2022-06-27 16:32:50+00:00,1541459551131766786,"You so ""pro-Africa"" but sitting your Professor Xavier going through a mid-life crisis, wearing his roommate's shirt looking @$$ in the UK, saying NOTHING about black Africans being murdered, but worried about what happens in the US. https://t.co/L8S7FttA2R https://t.co/yqO243zQNn"
38,2022-06-27 16:02:22+00:00,1541451882920660992,"Any comments? Yall ALWAYS have so much to say about how Black Americans (#Freedmen) should move. Is this your Pan-Africanism? Where is the energy for this absolutely disgusting display of anti-blackness? Yall both are sorry @$$ cowards!

@Samaggio_X @GT91113 https://t.co/f1YHwtfedW"
39,2022-06-27 14:42:17+00:00,1541431731609296899,🙏🏿🙏🏿🙏🏿🙏🏿🙏🏿🙏🏿🙏🏿 https://t.co/kTmUR2EWHU
40,2022-06-27 14:41:11+00:00,1541431453434740739,"@Allston1 @BigYash_609 When they move the goalpost because their original argument was crap, I move on. Do NOT take care"
