,Created at,User ID,Text
0,2022-05-24 11:25:31+00:00,1529061024057692163,If you’re in line by 7pm you get to cast your ballot! Make sure your voice is heard today! https://t.co/CQvAlnP4L1
1,2022-05-08 22:35:46+00:00,1523431494462545920,"Happy Mother’s Day to every mom, stepmom, grandmother, foster mom, and mom at heart. You help make this country great! https://t.co/8OlTBh6nzL"
2,2022-04-19 07:54:45+00:00,1516324407425261568,Just posted a photo https://t.co/hhGx2l0N9n
3,2022-04-17 14:24:19+00:00,1515697668617654274,"RT @FoxNews: Rep. Pramila Jayapal: Student debt cancellation is 'racial justice,' 'gender justice,' 'economic justice'
https://t.co/xFYP6A9…"
4,2022-04-17 14:20:14+00:00,1515696644175638538,"RT @angelfrmcanada: Wordle 302 3/6

⬜🟨🟩🟩⬜
🟨🟨🟨⬜🟨
🟩🟩🟩🟩🟩"
5,2022-04-17 14:19:12+00:00,1515696383235440641,Meet Paul https://t.co/tnwXiuxT2H
6,2022-04-12 20:58:00+00:00,1513984803384799234,"I loved getting to donate a Easter basket to the winner of a door prize at Hancock County Meet and Greet this past weekend! 

I’m traveling all over the district currently so let me know if you have an event you’d like me to add to my calendar. https://t.co/deoqZBQOD5"
7,2022-04-05 17:37:12+00:00,1511397554587684866,Thank you to Shiloh Missionary Baptist Church for inviting me to join them on April 2nd. I throughly enjoyed my time with you all! https://t.co/O2PS1Ew2zV
8,2022-03-28 20:29:58+00:00,1508541933077123077,https://t.co/VWHyi59HUM
9,2022-03-18 21:50:42+00:00,1504938371361161219,Democrat Walton running on ‘Common Sense Democracy’ platform in CD-10 https://t.co/39mrlEWLXB
10,2022-03-12 16:18:02+00:00,1502680322743451657,Georgia`s District 10 https://t.co/gMlCJD6lwI
11,2022-03-11 00:21:14+00:00,1502077149536264201,"I have officially qualified to be your next 10th District Congressman! Thank you to everyone who has supported me on this journey. 

If you’re looking to get involved with my campaign please send me a message! https://t.co/WJgILQ6p36"
12,2022-02-28 01:38:52+00:00,1498110421714227210,Loved my time at UGA with this panel of elected officials from across the State of Georgia in the Simulated City Meeting for Georgia’s Newly Elected Officials! https://t.co/NPYzSD4HoF
13,2022-02-25 14:17:37+00:00,1497214202972454916,Today I’m honored to participate in the simulated council meeting during the Newly Elected Officials Institute at UGA! This is such an important part of the learning experience for officials new to their elected positions. I’m excited to jump in and help! https://t.co/UbvXHQ2bn2
14,2022-02-24 21:18:28+00:00,1496957725666058241,Tonight I’m excited to join the Athens Democratic Party for their monthly meeting! See everyone at 6pm on Zoom. https://t.co/Vvlz4i3H0X
