,Created at,User ID,Text
0,2019-04-22 16:02:06+00:00,1120357116668272641,"Earth Day is a call to action to protect our environment, small changes can make a difference. 
*Reduce or stop using disposable plastic
*Recycle and/or reuse paper, bottles &amp; cans
*Call or write your representatives and ask them to support smart environmental legislation https://t.co/Ihrso7QokZ"
1,2019-04-15 19:06:31+00:00,1117866809624014848,"We are all horrified to watch as the iconic Notre Dame Cathedral burns. For 800 years the cathedral has stood not only for history and faith, but as a symbol of France. Nos pensées vont au peuple de France 
#NotreDameCathedral https://t.co/WgvEfbMtiV"
2,2019-04-09 16:09:18+00:00,1115647885465522181,"I'm excited about our 2020 campaign, but to reach voters we need to update our website &amp; produce marketing materials.

We're close to making these buys, but still $1,850 short of today's goal. Can you contribute $50, $100 or $250 to help close the gap?

https://t.co/h8ceypfxyD https://t.co/PJXlXkUodx"
3,2019-04-06 14:51:38+00:00,1114541179176144896,"ICE raids are not the solution. Let's compassionately address the situation of undocumented workers and create a system for new immigrants that serves all concerned #TogetherWeCan

ICE Raids Texas Technology Company, Arrests 280 Over Immigration Violations https://t.co/xE3eq2LCBx"
4,2019-04-06 01:11:27+00:00,1114334773005160448,It is disappointing that any of our Representatives would vote against this act. The American people and the people of TX-3 understand that the safety of women should come before special interests. Our own @RepVanTaylor was among those who voted against reauthorization. https://t.co/Rds7pvPQ3F
5,2019-03-28 21:01:20+00:00,1111372725602312192,"Want to be sure you’re registered to vote on May 4th? Check your registration today!
https://t.co/qhDlM9mZOD
Need to get registered? Contact our team! https://t.co/zY8fcJw8Mp"
6,2019-03-19 16:01:58+00:00,1108035896228700160,"In honor of National Women's Month, we honor Amelia Boynton Robinson who was a leader of the voting rights movement in Selma, Alabama. We must honor the lives of those that fought for voting rights for ALL AMERICANS by using our vote as our voice! https://t.co/lAAdnSrire"
7,2019-03-19 15:56:43+00:00,1108034574771208193,"@LTeeter1307 We don't have our 2020 shirts yet; they'll be ready soon! Have you signed up for our newsletter? If not, you can do that through the website and get a notification when the shirts are in, as well as news about upcoming events and volunteer opportunities. https://t.co/ANSXWWrsD0"
8,2019-03-15 17:37:28+00:00,1106610375695499264,"My family and I send our deepest sympathy to the people of New Zealand. We mourn alongside the Muslim community and stand with people across the world in denouncing hatred and bigotry. We stand for peace, dignity, and decency."
9,2019-03-07 19:13:05+00:00,1103735337745039362,"Today marks the 54th anniversary of the Bloody Sunday march from Selma to Montgomery.

Let's honor their sacrifice by continuing the legacy of EQUAL RIGHTS, civic engagement, &amp; using OUR VOTE AS OUR VOICE. I intend to keep marching, will you join me?
https://t.co/bLizXUUllW https://t.co/f5AFBRJlMm"
