,Created at,User ID,Text
0,2022-06-28 21:36:21+00:00,1541898320787804160,"Last week, I voted to send the Bipartisan Safer Communities Act to President Biden's desk—the first major piece of gun reform signed into law in 26 years.

It shouldn't have taken this long. It's still not enough, but it’s progress and it will save lives."
1,2022-06-28 17:07:55+00:00,1541830768384569344,"Brittany had to make the difficult decision of having an abortion. Luckily, she had access to the care that she needed.
 
Access to care is on the line. Women’s lives are on the line. I will continue to work to ensure that every woman across America has access to abortion care. https://t.co/jF1nNfq7f6"
2,2022-06-27 22:32:23+00:00,1541550036168806401,"Nevada will not be untouched by a nationwide abortion ban, and @VoteAprilBecker will be first in line to enact one against the wishes of Nevada voters.

I will continue to proudly fight for choice, not just for Nevadans, but for every woman across the nation. #FightForReproRights https://t.co/kqHk7Lczuy"
3,2022-06-27 22:26:45+00:00,1541548616577196033,"Right now, you can donate to local abortion funds like @WildWestFund so women can continue to get the care they need. https://t.co/Ky6obCRRQC"
4,2022-06-27 22:26:45+00:00,1541548615096627200,"Stay loud, stay angry, and volunteer for pro-choice politicians up and down the ballot. Maintaining and expanding pro-choice state legislatures across the country is critical to curtailing cruel abortion bans in every state. #FightForReproRights https://t.co/oEBlhJyPBp"
5,2022-06-27 22:17:13+00:00,1541546219347972096,"The decision to become a parent is an extremely personal one, and people deserve to have the ability to make the best choice for themselves and their families.

It's that simple. #FightForReproRights https://t.co/mv246ST0wc"
6,2022-06-27 22:08:03+00:00,1541543908844244992,"Abortion rights are codified into our state law here in Nevada—but if anti-choice Republicans like @VoteAprilBecker get their way, they will enact a nationwide ban and overturn the will of voters.

We must come out in droves to the ballot box in November. #FightForReproRights https://t.co/qEh0rhCyZf"
7,2022-06-27 22:02:20+00:00,1541542470814531584,"Grief over the fact that my daughter now has less rights than I did at her age. Grief that the rights of millions of women were snatched away in an instant.

Then, anger that will drive me each day as I fight to protect abortion rights for all women. #FightForReproRights https://t.co/sYN52Q71Sk"
8,2022-06-27 21:29:21+00:00,1541534170601488384,"Anti-choice Republicans have ripped away a woman's right to choose, but won't vote for expanding access to child care or paid family leave?

That. Is. Not. Pro-life."
9,2022-06-27 17:23:24+00:00,1541472274502496257,"🚨 I just went up with my first ad about @VoteAprilBecker’s record of anti-choice extremism. 

Will you chip in today to help us keep it on the air so I can continue to fight for abortion rights in Nevada?

https://t.co/yi6H2jQUpU https://t.co/ENJxGNfnim"
10,2022-06-26 18:40:48+00:00,1541129366775599104,"It’s been a difficult few days. It’s alright to grieve. It’s okay to dread the coming week.

We’re going to get back up, just like we always do. Because when things get tough, we organize.

Let’s get out there and show anti-choice politicians that we refuse to go backwards."
11,2022-06-26 00:48:40+00:00,1540859554925142016,I will always stand for choice.
12,2022-06-25 16:51:34+00:00,1540739489496043522,"Nevada Right to Life—which has endorsed @VoteAprilBecker—called the fall of Roe “a necessary step to allow the process of ridding our nation of abortion.”

I am up with my first ad because I—alongside the majority of Nevadans—will not accept anti-choice extremism in our state. https://t.co/ENJxGNfnim"
13,2022-06-24 20:32:35+00:00,1540432723063386112,Read more here: https://t.co/EACyfa6YkR
14,2022-06-24 20:32:34+00:00,1540432718990692353,"NEW AD: I was a staunch advocate for abortion rights long before entering Congress.

@VoteAprilBecker is endorsed by extremist anti-choice groups that want to make all abortions illegal—even in the case of rape or incest.

There is a clear choice for Nevadans in November. https://t.co/nzt9O0t9Mh"
15,2022-06-24 19:02:53+00:00,1540410148354531328,"Voting is critical to protecting abortion rights, but right now, you can donate to local abortion funds like @WildWestFund so women can continue to get the care they need. https://t.co/obVXT3Pklq"
16,2022-06-24 19:02:52+00:00,1540410145657655296,"Today has been tough, but we’re going to keep fighting.

We’re going to protect abortion rights at the ballot box in November. https://t.co/qWuCEfY3kU"
17,2022-06-24 14:31:32+00:00,1540341862044602368,"I will continue to be a champion for choice. I will continue to fight for federal protections for abortion rights.

Republicans are on the wrong side of history, and we'll show them at the ballot box in November."
18,2022-06-24 14:31:32+00:00,1540341860425601026,"This is a gut-wrenching day for women and families and is the result of a decades-long crusade by anti-choice extremists. 

They won't stop here. If given the chance, they will enact a nationwide abortion ban and overturn the will of the majority of Nevadans and Americans. https://t.co/T9Utd7Iyzj"
19,2022-06-24 02:19:20+00:00,1540157597650628608,"Democrats are voting to bring costs down at the grocery store and at the pump for our families.

Republicans aren’t.

The choice is clear."
20,2022-06-23 19:01:17+00:00,1540047357458255872,"I’m fighting to protect abortion rights because our daughters shouldn’t have fewer rights than we had.

https://t.co/wAHCiEAYCa"
21,2022-06-22 22:46:50+00:00,1539741731670765568,"Nevada is a tried and true reflection of America’s diversity and is a leader for voting rights in our country.

Our voters are battle born, eager to tackle our toughest issues and elect Democrats up and down the ballot.

Nevadans matter, and we deserve to be first in the nation."
22,2022-06-22 17:58:53+00:00,1539669264906391552,"The #AmericanRescuePlan is still delivering for Nevada!

I’m proud to have voted for this funding to keep our children fed and strengthen mental health initiatives in our state.

https://t.co/YDkorlr7SK"
23,2022-06-21 23:53:36+00:00,1539396145767559168,"I'm working each day to bring costs down and protect our rights.

Meanwhile, malicious special interests are spending millions to elect my opponent.

Will you chip in today to help us reach our end of quarter goal and fight for #NV03's future?

https://t.co/yi6H2jQUpU"
24,2022-06-21 20:45:37+00:00,1539348840444096513,"While voting against protecting our kids from being gunned down in their classrooms, anti-choice politicians want to force women to have children. What’s pro-life about that?"
25,2022-06-21 01:46:09+00:00,1539062084410871810,"Just a reminder: While Democrats are fighting inflation head-on, Republicans voted against bringing down the cost of food and gas for our families."
26,2022-06-20 21:30:14+00:00,1538997680059215872,"Throughout my career, I’ve brought people together to solve our states’ toughest issues and deliver for Nevadans.
 
By reaching across the aisle, I helped put Nevada on the path toward a full recovery. Now, I’m working to make critical investments in our children’s future. https://t.co/q9kW3RAnQq"
27,2022-06-19 16:33:33+00:00,1538560627739721728,"This #Juneteenth, we celebrate emancipation and the progress that has been made to dismantle systemic racism in this country. Today, we recommit to the work to reach true racial justice and equality."
28,2022-06-18 21:15:30+00:00,1538269195325976577,"Loved celebrating @JustinJonesNV at his campaign kickoff alongside southern Nevada volunteers!

The road to November is a long one, but we’re going to be fighting every step of the way. https://t.co/m8ONwtIE5s"
29,2022-06-18 01:15:39+00:00,1537967243346161664,"Parents shouldn’t have to fear dropping their kids off at school, wondering if it’s the last time they’ll see them.

We need common-sense gun reform now."
30,2022-06-17 20:40:33+00:00,1537898013133197313,"Republicans want to coerce women into having children, all while refusing to provide the support they need to raise them. 

They aren’t pro-life. They’re anti-family."
31,2022-06-17 17:42:51+00:00,1537853290767056898,"Pride is bravery. Pride is love. 

Happy #PrideMonth! https://t.co/qEuUQLlsmG"
32,2022-06-16 23:30:37+00:00,1537578421953277952,"Our families are hurting at the pump and at the grocery store.

Today, House Democrats passed the Lower Food and Fuel Costs Act to cut costs for families.

Republicans are talking about inflation. Democrats are fighting it."
33,2022-06-16 17:47:58+00:00,1537492190263320577,"I have been fighting tooth and nail to bring costs down for our families.
 
Meanwhile, Republicans who are bought and paid for by special interests have been voting against every Democratic effort to do so.
 
Voters should know who’s actually on their side. https://t.co/QRYKywHlYK"
34,2022-06-15 16:08:48+00:00,1537104847601668098,"A woman’s right to choose, our democracy, and the livelihoods of our families are at stake in November. 

Can I count on you to chip in to our campaign today to protect our rights and keep sensible leadership in #NV03? https://t.co/yi6H2jQUpU"
