,Created at,User ID,Text
0,2022-06-26 22:16:52+00:00,1541183742265495554,What a fantastic weekend of parades capped of with this great group at Dew Days in Farmington! It was great to meet so many Minnesotans concerned about our community! Thanks to everyone on #TeamKistner for your continued support! #MN02 https://t.co/BNZtUGi52T
1,2022-06-25 20:26:59+00:00,1540793702343274497,Another busy weekend for #TeamKistner! Last night our team hit the streets at Kaposia Days in South St. Paul! This morning we were back on the ground talking to Minnesotans at Dan Patch Days in Savage and Fire and Rescue Days in Elko!  #MN02 https://t.co/Jc5O0rM1yQ
2,2022-06-21 17:27:03+00:00,1539298866662723584,"RT @MikeKBerg: 👀 @AAN gets an A- Fact Check for their new inflation ad hitting @AngieCraigMN.

Democrats have no defense for the inflation…"
3,2022-06-20 17:37:11+00:00,1538939031471411200,It was great to see everyone over the weekend in Cottage Grove and Cleveland! Our campaign is committed to bettering the lives of families across the Second District. A special thanks to all our great volunteers for joining us! #MN02 https://t.co/3PPPgWoQCj
4,2022-06-19 15:59:03+00:00,1538551947292295170,Happy Father’s Day to all dads across our great nation. My dad made me into the person I am today and continues to be a positive influence on me as well as my children! https://t.co/vvforpP1ig
5,2022-06-17 20:14:20+00:00,1537891415979503617,"RT @RepTomEmmer: .@HouseGOP members have been sounding the alarm on inflation for months. 

The Biden administration has ignored us, pointe…"
6,2022-06-17 19:37:12+00:00,1537882068729810945,It was great to see so many friendly faces at Shakopee’s annual Picnic with Police event! Thank you to all our law enforcement officers for their commitment and sacrifice to keep our communities safe! #MN02 https://t.co/9w3bEKX9sC
7,2022-06-17 14:32:55+00:00,1537805492764004352,RT @JuliaEColeman: How can you shamelessly gaslight Minnesotans like this https://t.co/QeGi2y82Ay
8,2022-06-16 18:50:43+00:00,1537507985026650112,RT @PerkinsCally: .@RepAngieCraig seems worried that her constituents are going to find out that she voted to spend billions of their taxpa…
9,2022-06-16 18:32:43+00:00,1537503451827027968,"With gas prices at record-highs, it’s comical that anyone would believe the anti-energy agenda of @JoeBiden and @AngieCraigMN has helped lower gas prices. 

It’s time we regain our energy independence and put our families first. #MN02 https://t.co/zbIpNUzZlL"
10,2022-06-16 18:07:57+00:00,1537497223193296897,RT @NRCC: .@AngieCraigMN's efforts to defund the police has violent crime spilling into Minneapolis suburbs causing panic among residents.…
11,2022-06-16 15:52:16+00:00,1537463077431652352,"Skyrocketing energy prices caused by @JoeBiden &amp; @AngieCraigMN will continue to negatively impact Minnesotans. These prices are currently straining the budgets of Minnesotans and could potentially lead to layoffs. We need energy independence now. #MN02 

https://t.co/O0GiJIjMBH"
12,2022-06-15 21:52:29+00:00,1537191338067755013,"RT @NRCC: Angie Craig says she wants to ban lawmakers from flying first class

Please pay no attention to all of these photos of her flying…"
13,2022-06-15 18:51:22+00:00,1537145760155942915,"RT @GOPLeader: AAA received more than 50,000 out-of-gas calls in April. The gas crisis perpetuated by Democrat policies is leaving American…"
14,2022-06-15 18:31:41+00:00,1537140807530078212,RT @Stowydad: Republican challenger @KistnerCongress booked Twin Cities TV station time beginning Oct. 4 and through the end. Not as hefty…
15,2022-06-15 16:31:11+00:00,1537110480669618178,"This is literally you having your constituents foot the bill for you to fly in first class and comfort plus, while Minnesotans in the Second District are paying record-high gas prices and struggling to put food on the table due to inflation. #MN02 https://t.co/Sbx87gnNU5 https://t.co/pR3NM4gc87"
16,2022-06-14 15:15:32+00:00,1536729054438641667,"Honored to call @SteveScaliseGOP a friend! I encourage everyone to listen to Steve’s message of hope, our best days in America are yet to come! https://t.co/zK3opf54XH"
17,2022-06-14 15:13:03+00:00,1536728430854668293,Happy #FlagDay. I was honored to serve our country and fight for freedom and prosperity around the world. Thank you to all those who have answered the call to protect and defend the ideals and values represented by our flag. #MN02 https://t.co/EbO5GJVWR6
18,2022-06-13 17:23:21+00:00,1536398831843266561,"Families should never have to be “Making do with less” due to @AngieCraigMN and @JoeBiden’s failed polices. 

It’s time to send a fighter to Congress who will work tirelessly to support economic solutions that will lower the cost of living and put Minnesota families first. #MN02 https://t.co/KlQca4CRCN"
19,2022-06-12 21:15:36+00:00,1536094895097667584,Fantastic energy today in Waterville from #TeamKistner at Bullhead Day! Our team noticed the record high gas prices affecting Minnesotans on the parade route caused by @AngieCraigMN and @JoeBiden. Let’s take out State back and win in November! #MN02 https://t.co/YcVfZKWJIo
20,2022-06-12 15:06:34+00:00,1536002021748269061,Thank you to everyone who made our Unity Meet and Greet possible last night in Savage! United together we will win this November and restore proper representation to our state! #MN02 https://t.co/Ky0LrxpbGl
21,2022-06-12 05:15:53+00:00,1535853373605433347,"RT @JimForMN: Great to join ⁦@KistnerCongress, who will be Congressman Kistner next year, ⁩and many other @mngop endorsed candidates for a…"
22,2022-06-12 01:19:40+00:00,1535793926572953600,"RT @RyanWilsonMN: Perfect Saturday evening for a @CD2MNGOP campaign unity event in Savage. 

We have an amazing group of candidates running…"
23,2022-06-09 17:11:40+00:00,1534946340207308800,"Minnesotans are seeing new record high gas’s prices nearly every day thanks to the failed polices of @AngieCraigMN and @JoeBiden.

We need to invest in America, regain energy independence, and provide economic relief to families here in the Second District. #MN02 https://t.co/jYkVkUng0m"
24,2022-06-06 23:55:36+00:00,1533960830005530624,Today marks the 78th anniversary of our armed forces storming the beaches of Normandy in their fight to liberate Europe. We will never forget their sacrifice and continue to honor our armed forces each and every day by upholding the freedoms they fought for. #DDay https://t.co/i6bcugeTQk
